,Sentence #,Word,POS,Tag
0,Sentence: 1,Антивирусная,ADJ,O
1,Sentence: 1,программа,NOUN,O
2,Sentence: 1,–,PUNCT,O
3,Sentence: 1,программа,NOUN,O
4,Sentence: 1,",",PUNCT,O
5,Sentence: 1,предназначенная,VERB,O
6,Sentence: 1,для,ADP,O
7,Sentence: 1,борьбы,NOUN,O
8,Sentence: 1,с,ADP,O
9,Sentence: 1,компьютерными,ADJ,O
10,Sentence: 1,вирусами,NOUN,O
11,Sentence: 1,.,PUNCT,O
12,Sentence: 2,В,ADP,O
13,Sentence: 2,своей,DET,O
14,Sentence: 2,работе,NOUN,O
15,Sentence: 2,эти,DET,O
16,Sentence: 2,программы,NOUN,O
17,Sentence: 2,используют,VERB,O
18,Sentence: 2,различные,ADJ,O
19,Sentence: 2,принципы,NOUN,O
20,Sentence: 2,для,ADP,O
21,Sentence: 2,поиска,NOUN,O
22,Sentence: 2,и,CCONJ,O
23,Sentence: 2,лечения,NOUN,O
24,Sentence: 2,зараженных,VERB,O
25,Sentence: 2,файлов,NOUN,O
26,Sentence: 2,.,PUNCT,O
27,Sentence: 3,Для,ADP,O
28,Sentence: 3,нормальной,ADJ,O
29,Sentence: 3,работы,NOUN,O
30,Sentence: 3,на,ADP,O
31,Sentence: 3,ПК,PROPN,O
32,Sentence: 3,каждый,DET,O
33,Sentence: 3,пользователь,NOUN,O
34,Sentence: 3,должен,ADJ,O
35,Sentence: 3,следить,VERB,O
36,Sentence: 3,за,ADP,O
37,Sentence: 3,обновлением,NOUN,O
38,Sentence: 3,антивирусов,NOUN,O
39,Sentence: 3,.,PUNCT,O
40,Sentence: 4,Если,SCONJ,O
41,Sentence: 4,антивирусная,ADJ,O
42,Sentence: 4,программа,NOUN,O
43,Sentence: 4,обнаруживает,VERB,O
44,Sentence: 4,вирус,NOUN,O
45,Sentence: 4,в,ADP,O
46,Sentence: 4,файле,NOUN,O
47,Sentence: 4,",",PUNCT,O
48,Sentence: 4,то,SCONJ,O
49,Sentence: 4,она,PRON,O
50,Sentence: 4,удаляет,VERB,O
51,Sentence: 4,из,ADP,O
52,Sentence: 4,него,PRON,O
53,Sentence: 4,программный,ADJ,O
54,Sentence: 4,код,NOUN,O
55,Sentence: 4,вируса,NOUN,O
56,Sentence: 4,.,PUNCT,O
57,Sentence: 5,Если,SCONJ,O
58,Sentence: 5,лечение,NOUN,O
59,Sentence: 5,невозможно,ADJ,O
60,Sentence: 5,",",PUNCT,O
61,Sentence: 5,то,SCONJ,O
62,Sentence: 5,зараженный,VERB,O
63,Sentence: 5,файл,NOUN,O
64,Sentence: 5,удаляется,VERB,O
65,Sentence: 5,целиком,ADV,O
66,Sentence: 5,.,PUNCT,O
67,Sentence: 6,Имеются,VERB,O
68,Sentence: 6,различные,ADJ,O
69,Sentence: 6,типы,NOUN,O
70,Sentence: 6,антивирусных,ADJ,O
71,Sentence: 6,программ,NOUN,O
72,Sentence: 6,–,PUNCT,O
73,Sentence: 6,полифаги,NOUN,O
74,Sentence: 6,",",PUNCT,O
75,Sentence: 6,ревизоры,NOUN,O
76,Sentence: 6,",",PUNCT,O
77,Sentence: 6,блокировщики,NOUN,O
78,Sentence: 6,",",PUNCT,O
79,Sentence: 6,сторожа,NOUN,O
80,Sentence: 6,",",PUNCT,O
81,Sentence: 6,вакцины,NOUN,O
82,Sentence: 6,и,CCONJ,O
83,Sentence: 6,пр,NOUN,O
84,Sentence: 6,.,PUNCT,O
85,Sentence: 6,Типы,NOUN,O
86,Sentence: 6,антивирусных,ADJ,O
87,Sentence: 6,программ,NOUN,O
88,Sentence: 6,:,PUNCT,O
89,Sentence: 6,Антивирусные,ADJ,O
90,Sentence: 6,сканеры,NOUN,O
91,Sentence: 6,–,PUNCT,O
92,Sentence: 6,после,ADP,O
93,Sentence: 6,запуска,NOUN,O
94,Sentence: 6,проверяют,VERB,O
95,Sentence: 6,файлы,NOUN,O
96,Sentence: 6,и,CCONJ,O
97,Sentence: 6,оперативную,ADJ,O
98,Sentence: 6,память,NOUN,O
99,Sentence: 6,и,CCONJ,O
100,Sentence: 6,обеспечивают,VERB,O
101,Sentence: 6,нейтрализацию,NOUN,O
102,Sentence: 6,найденного,VERB,O
103,Sentence: 6,вируса,NOUN,O
