,Sentence #,Word,POS,Tag
0,Sentence: 1,Как,SCONJ,O
1,Sentence: 1,«,PUNCT,O
2,Sentence: 1,Интернет,NOUN,O
3,Sentence: 1,вещей,NOUN,O
4,Sentence: 1,»,PUNCT,O
5,Sentence: 1,изменит,VERB,O
6,Sentence: 1,нашу,DET,O
7,Sentence: 1,жизнь,NOUN,O
8,Sentence: 1,через,ADP,O
9,Sentence: 1,5,NUM,O
10,Sentence: 1,лет,NOUN,O
11,Sentence: 1,Опубликовано,VERB,O
12,Sentence: 1,:,PUNCT,O
13,Sentence: 1,23/11/2019,ADJ,O
14,Sentence: 1,Автор,NOUN,O
15,Sentence: 1,:,PUNCT,O
16,Sentence: 1,Андрей,PROPN,O
17,Sentence: 1,ЛапушкинКатегория,PROPN,O
18,Sentence: 1,:,PUNCT,O
19,Sentence: 1,ОбзорыОставить,NOUN,O
20,Sentence: 1,комментарий,NOUN,O
21,Sentence: 1,Internet,X,O
22,Sentence: 1,of,X,O
23,Sentence: 1,thing,X,O
24,Sentence: 1,–,PUNCT,O
25,Sentence: 1,IOT,PROPN,O
26,Sentence: 1,–,PUNCT,O
27,Sentence: 1,Интернет,PROPN,O
28,Sentence: 1,вещей,NOUN,O
29,Sentence: 1,обложка,NOUN,O
30,Sentence: 1,Содержание,PROPN,O
31,Sentence: 1,Что,PRON,O
32,Sentence: 1,такое,DET,O
33,Sentence: 1,интернет,NOUN,O
34,Sentence: 1,вещей,NOUN,O
35,Sentence: 1,Как,SCONJ,O
36,Sentence: 1,технология,NOUN,O
37,Sentence: 1,упрощает,VERB,O
38,Sentence: 1,жизнь,NOUN,O
39,Sentence: 1,Как,ADV,O
40,Sentence: 1,работает,VERB,O
41,Sentence: 1,технология,NOUN,O
42,Sentence: 1,IoT,PROPN,O
43,Sentence: 1,(,PUNCT,O
44,Sentence: 1,internet,X,O
45,Sentence: 1,of,X,O
46,Sentence: 1,things,X,O
47,Sentence: 1,),PUNCT,O
48,Sentence: 1,Главная,ADJ,O
49,Sentence: 1,особенность,NOUN,O
50,Sentence: 1,«,PUNCT,O
51,Sentence: 1,Интернета,NOUN,O
52,Sentence: 1,вещей,NOUN,O
53,Sentence: 1,»,PUNCT,O
54,Sentence: 1,Применение,NOUN,O
55,Sentence: 1,IoT-технологии,PROPN,O
56,Sentence: 1,в,ADP,O
57,Sentence: 1,разных,ADJ,O
58,Sentence: 1,секторах,NOUN,O
59,Sentence: 1,Общественный,ADJ,O
60,Sentence: 1,сектор,NOUN,O
61,Sentence: 1,или,CCONJ,O
62,Sentence: 1,устройство,NOUN,O
63,Sentence: 1,города,NOUN,O
64,Sentence: 1,Аграрный,ADJ,O
65,Sentence: 1,сектор,NOUN,O
66,Sentence: 1,Сектор,PROPN,O
67,Sentence: 1,логистики,NOUN,O
68,Sentence: 1,Строительный,ADJ,O
69,Sentence: 1,сектор,NOUN,O
70,Sentence: 1,Что,PRON,O
71,Sentence: 1,такое,DET,O
72,Sentence: 1,«,PUNCT,O
73,Sentence: 1,умный,ADJ,O
74,Sentence: 1,дом,NOUN,O
75,Sentence: 1,»,PUNCT,O
76,Sentence: 1,Развитие,NOUN,O
77,Sentence: 1,«,PUNCT,O
78,Sentence: 1,умной,ADJ,O
79,Sentence: 1,медицины,NOUN,O
80,Sentence: 1,»,PUNCT,O
81,Sentence: 1,в,ADP,O
82,Sentence: 1,течение,NOUN,O
83,Sentence: 1,пяти,NUM,O
84,Sentence: 1,лет,NOUN,O
85,Sentence: 1,«,PUNCT,O
86,Sentence: 1,Умный,ADJ,O
87,Sentence: 1,ритейл,NOUN,O
88,Sentence: 1,»,PUNCT,O
89,Sentence: 1,или,CCONJ,O
90,Sentence: 1,как,ADV,O
91,Sentence: 1,будут,AUX,O
92,Sentence: 1,выглядеть,VERB,O
93,Sentence: 1,магазины,NOUN,O
94,Sentence: 1,будущего,ADJ,O
95,Sentence: 1,Носимые,PROPN,O
96,Sentence: 1,устройства,NOUN,O
97,Sentence: 1,Умные,ADJ,O
98,Sentence: 1,машины,NOUN,O
99,Sentence: 1,«,PUNCT,O
100,Sentence: 1,Internet,X,O
101,Sentence: 1,of,X,O
102,Sentence: 1,things,X,O
103,Sentence: 1,»,PUNCT,O
104,Sentence: 1,—,PUNCT,O
105,Sentence: 1,ожидания,NOUN,O
106,Sentence: 1,и,CCONJ,O
107,Sentence: 1,реальность,NOUN,O
108,Sentence: 1,Что,PRON,O
109,Sentence: 1,такое,DET,O
110,Sentence: 1,интернет,NOUN,O
111,Sentence: 1,вещей,NOUN,O
112,Sentence: 1,Интернет,PROPN,O
113,Sentence: 1,вещей,NOUN,O
114,Sentence: 1,это,PRON,O
115,Sentence: 1,—,PUNCT,O
116,Sentence: 1,сеть,NOUN,O
117,Sentence: 1,физических,ADJ,O
118,Sentence: 1,предметов,NOUN,O
119,Sentence: 1,(,PUNCT,O
120,Sentence: 1,«,PUNCT,O
121,Sentence: 1,вещей,NOUN,O
122,Sentence: 1,»,PUNCT,O
123,Sentence: 1,),PUNCT,O
124,Sentence: 1,",",PUNCT,O
125,Sentence: 1,которые,PRON,O
126,Sentence: 1,оснащены,VERB,O
127,Sentence: 1,встроенной,VERB,O
128,Sentence: 1,технологией,NOUN,O
129,Sentence: 1,взаимодействия,NOUN,O
130,Sentence: 1,друг,PRON,O
131,Sentence: 1,с,ADP,O
132,Sentence: 1,другом,PRON,O
133,Sentence: 1,и,CCONJ,O
134,Sentence: 1,внешней,ADJ,O
135,Sentence: 1,средой,NOUN,O
136,Sentence: 1,.,PUNCT,O
137,Sentence: 2,Организация,NOUN,O
138,Sentence: 2,таких,DET,O
139,Sentence: 2,сетей,NOUN,O
140,Sentence: 2,рассматривается,VERB,O
141,Sentence: 2,как,SCONJ,O
142,Sentence: 2,явление,NOUN,O
143,Sentence: 2,",",PUNCT,O
144,Sentence: 2,способное,ADJ,O
145,Sentence: 2,перестроить,VERB,O
146,Sentence: 2,как,SCONJ,O
147,Sentence: 2,экономические,ADJ,O
148,Sentence: 2,",",PUNCT,O
149,Sentence: 2,так,ADV,O
150,Sentence: 2,и,PART,O
151,Sentence: 2,общественные,ADJ,O
152,Sentence: 2,процессы,NOUN,O
153,Sentence: 2,посредством,ADP,O
154,Sentence: 2,исключения,NOUN,O
155,Sentence: 2,из,ADP,O
156,Sentence: 2,части,NOUN,O
157,Sentence: 2,действий,NOUN,O
158,Sentence: 2,и,CCONJ,O
159,Sentence: 2,операций,NOUN,O
160,Sentence: 2,необходимость,NOUN,O
161,Sentence: 2,участия,NOUN,O
162,Sentence: 2,человека,NOUN,O
163,Sentence: 2,.,PUNCT,O
164,Sentence: 3,Как,SCONJ,O
165,Sentence: 3,технология,NOUN,O
166,Sentence: 3,упрощает,VERB,O
167,Sentence: 3,жизнь,NOUN,O
168,Sentence: 3,Данная,ADJ,O
169,Sentence: 3,технология,NOUN,O
170,Sentence: 3,автоматизирует,VERB,O
171,Sentence: 3,различные,ADJ,O
172,Sentence: 3,процессы,NOUN,O
173,Sentence: 3,",",PUNCT,O
174,Sentence: 3,которые,PRON,O
175,Sentence: 3,окружают,VERB,O
176,Sentence: 3,нас,PRON,O
177,Sentence: 3,.,PUNCT,O
178,Sentence: 4,Так,ADV,O
179,Sentence: 4,",",PUNCT,O
180,Sentence: 4,например,ADV,O
181,Sentence: 4,",",PUNCT,O
182,Sentence: 4,функция,NOUN,O
183,Sentence: 4,включения,NOUN,O
184,Sentence: 4,или,CCONJ,O
185,Sentence: 4,выключения,NOUN,O
186,Sentence: 4,двигателя,NOUN,O
187,Sentence: 4,и,CCONJ,O
188,Sentence: 4,кондиционера,NOUN,O
189,Sentence: 4,",",PUNCT,O
190,Sentence: 4,настраиваемые,VERB,O
191,Sentence: 4,климатические,ADJ,O
192,Sentence: 4,системы,NOUN,O
193,Sentence: 4,или,CCONJ,O
194,Sentence: 4,домашние,ADJ,O
195,Sentence: 4,кофемашины,NOUN,O
196,Sentence: 4,через,ADP,O
197,Sentence: 4,смартфон,NOUN,O
198,Sentence: 4,.,PUNCT,O
199,Sentence: 5,Устройства,NOUN,O
200,Sentence: 5,связываются,VERB,O
201,Sentence: 5,между,ADP,O
202,Sentence: 5,собой,PRON,O
203,Sentence: 5,в,ADP,O
204,Sentence: 5,единую,ADJ,O
205,Sentence: 5,сеть,NOUN,O
206,Sentence: 5,",",PUNCT,O
207,Sentence: 5,которая,PRON,O
208,Sentence: 5,призвана,ADJ,O
209,Sentence: 5,обеспечить,VERB,O
210,Sentence: 5,максимальный,ADJ,O
211,Sentence: 5,комфорт,NOUN,O
212,Sentence: 5,человеку,NOUN,O
213,Sentence: 5,и,CCONJ,O
214,Sentence: 5,экономию,NOUN,O
215,Sentence: 5,энергоресурсов,NOUN,O
216,Sentence: 5,",",PUNCT,O
217,Sentence: 5,времени,NOUN,O
218,Sentence: 5,.,PUNCT,O
219,Sentence: 6,Как,ADV,O
220,Sentence: 6,работает,VERB,O
221,Sentence: 6,технология,NOUN,O
222,Sentence: 6,IoT,PROPN,O
223,Sentence: 6,(,PUNCT,O
224,Sentence: 6,internet,X,O
225,Sentence: 6,of,X,O
226,Sentence: 6,things,X,O
227,Sentence: 6,),PUNCT,O
228,Sentence: 6,Идея,NOUN,O
229,Sentence: 6,«,PUNCT,O
230,Sentence: 6,Интернет,NOUN,O
231,Sentence: 6,вещей,NOUN,O
232,Sentence: 6,»,PUNCT,O
233,Sentence: 6,(,PUNCT,O
234,Sentence: 6,Internet,X,O
235,Sentence: 6,of,X,O
236,Sentence: 6,Things,X,O
237,Sentence: 6,),PUNCT,O
238,Sentence: 6,заключается,VERB,O
239,Sentence: 6,во,ADP,O
240,Sentence: 6,взаимодействии,NOUN,O
241,Sentence: 6,вещей,NOUN,O
242,Sentence: 6,с,ADP,O
243,Sentence: 6,сервером,NOUN,O
244,Sentence: 6,и,CCONJ,O
245,Sentence: 6,между,ADP,O
246,Sentence: 6,собой,PRON,O
247,Sentence: 6,без,ADP,O
248,Sentence: 6,значительного,ADJ,O
249,Sentence: 6,участия,NOUN,O
250,Sentence: 6,человека,NOUN,O
251,Sentence: 6,.,PUNCT,O
252,Sentence: 7,Главным,ADJ,O
253,Sentence: 7,образом,NOUN,O
254,Sentence: 7,IoT-технология,PROPN,O
255,Sentence: 7,—,PUNCT,O
256,Sentence: 7,это,PART,O
257,Sentence: 7,изменение,NOUN,O
258,Sentence: 7,взаимодействия,NOUN,O
259,Sentence: 7,человека,NOUN,O
260,Sentence: 7,с,ADP,O
261,Sentence: 7,вещами,NOUN,O
262,Sentence: 7,.,PUNCT,O
263,Sentence: 8,Принцип,NOUN,O
264,Sentence: 8,работы,NOUN,O
265,Sentence: 8,IoT,PROPN,O
266,Sentence: 8,технологии,NOUN,O
267,Sentence: 8,можно,ADV,O
268,Sentence: 8,понять,VERB,O
269,Sentence: 8,благодаря,ADP,O
270,Sentence: 8,её,DET,O
271,Sentence: 8,структуре,NOUN,O
272,Sentence: 8,:,PUNCT,O
273,Sentence: 8,IoT-устройства,X,O
274,Sentence: 8,.,PUNCT,O
275,Sentence: 9,«,PUNCT,O
276,Sentence: 9,Интернет,NOUN,O
277,Sentence: 9,вещи,NOUN,O
278,Sentence: 9,»,PUNCT,O
279,Sentence: 9,представляют,VERB,O
280,Sentence: 9,собой,PRON,O
281,Sentence: 9,соединенные,NOUN,O
282,Sentence: 9,через,ADP,O
283,Sentence: 9,сеть,NOUN,O
284,Sentence: 9,предметы,NOUN,O
285,Sentence: 9,электроники,NOUN,O
286,Sentence: 9,и,CCONJ,O
287,Sentence: 9,бытовой,ADJ,O
288,Sentence: 9,техники,NOUN,O
289,Sentence: 9,",",PUNCT,O
290,Sentence: 9,которые,PRON,O
291,Sentence: 9,управляются,VERB,O
292,Sentence: 9,единым,ADJ,O
293,Sentence: 9,центром,NOUN,O
294,Sentence: 9,.,PUNCT,O
295,Sentence: 10,Шлюзы,PROPN,O
296,Sentence: 10,.,PUNCT,O
297,Sentence: 11,Область,PROPN,O
298,Sentence: 11,",",PUNCT,O
299,Sentence: 11,которая,PRON,O
300,Sentence: 11,получает,VERB,O
301,Sentence: 11,информацию,NOUN,O
302,Sentence: 11,от,ADP,O
303,Sentence: 11,взаимозависимых,ADJ,O
304,Sentence: 11,устройств,NOUN,O
305,Sentence: 11,.,PUNCT,O
306,Sentence: 12,Шлюзы,NOUN,O
307,Sentence: 12,передают,VERB,O
308,Sentence: 12,информацию,NOUN,O
309,Sentence: 12,о,ADP,O
310,Sentence: 12,действиях,NOUN,O
311,Sentence: 12,",",PUNCT,O
312,Sentence: 12,которые,PRON,O
313,Sentence: 12,необходимо,ADJ,O
314,Sentence: 12,выполнить,VERB,O
315,Sentence: 12,устройству,NOUN,O
316,Sentence: 12,.,PUNCT,O
317,Sentence: 13,Чаще,ADV,O
318,Sentence: 13,всего,PRON,O
319,Sentence: 13,они,PRON,O
320,Sentence: 13,представлены,VERB,O
321,Sentence: 13,маршрутизаторами,ADJ,O
322,Sentence: 13,или,CCONJ,O
323,Sentence: 13,программным,ADJ,O
324,Sentence: 13,обеспечением,NOUN,O
325,Sentence: 13,.,PUNCT,O
326,Sentence: 14,Сервер,NOUN,O
327,Sentence: 14,.,PUNCT,O
328,Sentence: 15,Эта,DET,O
329,Sentence: 15,область,NOUN,O
330,Sentence: 15,хранения,NOUN,O
331,Sentence: 15,",",PUNCT,O
332,Sentence: 15,обработки,NOUN,O
333,Sentence: 15,и,CCONJ,O
334,Sentence: 15,анализа,NOUN,O
335,Sentence: 15,показания,NOUN,O
336,Sentence: 15,датчиков,NOUN,O
337,Sentence: 15,.,PUNCT,O
338,Sentence: 16,Данные,NOUN,O
339,Sentence: 16,накапливаются,VERB,O
340,Sentence: 16,и,CCONJ,O
341,Sentence: 16,обрабатываются,VERB,O
342,Sentence: 16,в,ADP,O
343,Sentence: 16,облаке,NOUN,O
344,Sentence: 16,или,CCONJ,O
345,Sentence: 16,в,ADP,O
346,Sentence: 16,базе,NOUN,O
347,Sentence: 16,виртуального,ADJ,O
348,Sentence: 16,сервера,NOUN,O
349,Sentence: 16,.,PUNCT,O
350,Sentence: 17,Клиентская,ADJ,O
351,Sentence: 17,часть,NOUN,O
352,Sentence: 17,.,PUNCT,O
353,Sentence: 18,Отслеживание,NOUN,O
354,Sentence: 18,и,CCONJ,O
355,Sentence: 18,изменение,NOUN,O
356,Sentence: 18,действий,NOUN,O
357,Sentence: 18,человеком,NOUN,O
358,Sentence: 18,через,ADP,O
359,Sentence: 18,мобильное,ADJ,O
360,Sentence: 18,или,CCONJ,O
361,Sentence: 18,веб-приложение,ADJ,O
362,Sentence: 18,.,PUNCT,O
363,Sentence: 19,Клиентская,ADJ,O
364,Sentence: 19,часть,NOUN,O
365,Sentence: 19,обеспечивает,VERB,O
366,Sentence: 19,доступ,NOUN,O
367,Sentence: 19,к,ADP,O
368,Sentence: 19,показателям,NOUN,O
369,Sentence: 19,за,ADP,O
370,Sentence: 19,разные,ADJ,O
371,Sentence: 19,периоды,NOUN,O
372,Sentence: 19,времени,NOUN,O
373,Sentence: 19,.,PUNCT,O
374,Sentence: 20,Благодаря,ADP,O
375,Sentence: 20,этому,PRON,O
376,Sentence: 20,доступу,NOUN,O
377,Sentence: 20,",",PUNCT,O
378,Sentence: 20,мы,PRON,O
379,Sentence: 20,можем,VERB,O
380,Sentence: 20,отслеживать,VERB,O
381,Sentence: 20,и,CCONJ,O
382,Sentence: 20,контролировать,VERB,O
383,Sentence: 20,",",PUNCT,O
384,Sentence: 20,анализировать,VERB,O
385,Sentence: 20,и,CCONJ,O
386,Sentence: 20,снижать,VERB,O
387,Sentence: 20,издержки,NOUN,O
388,Sentence: 20,на,ADP,O
389,Sentence: 20,затраты,NOUN,O
390,Sentence: 20,",",PUNCT,O
391,Sentence: 20,если,SCONJ,O
392,Sentence: 20,они,PRON,O
393,Sentence: 20,присутствуют,VERB,O
394,Sentence: 20,.,PUNCT,O
395,Sentence: 21,«,PUNCT,O
396,Sentence: 21,Интернет,NOUN,O
397,Sentence: 21,вещей,NOUN,O
398,Sentence: 21,»,PUNCT,O
399,Sentence: 21,—,PUNCT,O
