,Sentence #,Word,POS,Tag
0,Sentence: 1,осуществления,NOUN,O
1,Sentence: 1,образовательной,ADJ,O
2,Sentence: 1,деятельности,NOUN,O
3,Sentence: 1,",",PUNCT,O
4,Sentence: 1,начисления,NOUN,O
5,Sentence: 1,и,CCONJ,O
6,Sentence: 1,выплаты,NOUN,O
7,Sentence: 1,заработной,ADJ,O
8,Sentence: 1,платы,NOUN,O
9,Sentence: 1,",",PUNCT,O
10,Sentence: 1,заключения,NOUN,O
11,Sentence: 1,трудовых,ADJ,O
12,Sentence: 1,и,CCONJ,O
13,Sentence: 1,иных,ADJ,O
14,Sentence: 1,договоров,NOUN,O
15,Sentence: 1,",",PUNCT,O
16,Sentence: 1,ведения,NOUN,O
17,Sentence: 1,личных,ADJ,O
18,Sentence: 1,карточек,NOUN,O
19,Sentence: 1,",",PUNCT,O
20,Sentence: 1,регистрации,NOUN,O
21,Sentence: 1,и,CCONJ,O
22,Sentence: 1,обработки,NOUN,O
23,Sentence: 1,сведений,NOUN,O
24,Sentence: 1,о,ADP,O
25,Sentence: 1,профессиональной,ADJ,O
26,Sentence: 1,служебной,ADJ,O
27,Sentence: 1,деятельности,NOUN,O
28,Sentence: 1,работников,NOUN,O
29,Sentence: 1,",",PUNCT,O
30,Sentence: 1,ведение,NOUN,O
31,Sentence: 1,личных,ADJ,O
32,Sentence: 1,дел,NOUN,O
33,Sentence: 1,студентов,NOUN,O
34,Sentence: 2,С,ADP,O
35,Sentence: 2,целью,NOUN,O
36,Sentence: 2,защиты,NOUN,O
37,Sentence: 2,персональных,ADJ,O
38,Sentence: 2,данных,NOUN,O
39,Sentence: 2,",",PUNCT,O
40,Sentence: 2,разработаны,VERB,O
41,Sentence: 2,локальные,ADJ,O
42,Sentence: 2,нормативные,ADJ,O
43,Sentence: 2,акты,NOUN,O
44,Sentence: 2,",",PUNCT,O
45,Sentence: 2,регламентирующие,VERB,O
46,Sentence: 2,порядок,NOUN,O
47,Sentence: 2,обработки,NOUN,O
48,Sentence: 2,персональных,ADJ,O
49,Sentence: 2,данных,NOUN,O
50,Sentence: 2,в,ADP,O
51,Sentence: 2,ФГБОУ,PROPN,O
52,Sentence: 2,ВО,ADP,O
53,Sentence: 2,Новосибирском,ADJ,O
54,Sentence: 2,ГАУ,PROPN,O
55,Sentence: 2,:,PUNCT,O
56,Sentence: 2,Положение,PROPN,O
57,Sentence: 2,о,ADP,O
58,Sentence: 2,защите,NOUN,O
59,Sentence: 2,персональных,ADJ,O
60,Sentence: 2,данных,NOUN,O
61,Sentence: 2,(,PUNCT,O
62,Sentence: 2,утверждено,VERB,O
63,Sentence: 2,приказом,NOUN,O
64,Sentence: 2,ректора,NOUN,O
65,Sentence: 2,№,SYM,O
66,Sentence: 2,614-О,NUM,O
67,Sentence: 2,",",PUNCT,O
68,Sentence: 2,от,ADP,O
69,Sentence: 2,17.12.2012,ADJ,O
70,Sentence: 2,г,NOUN,O
71,Sentence: 2,.,PUNCT,O
72,Sentence: 2,),PUNCT,O
73,Sentence: 2,".,",PUNCT,O
74,Sentence: 2,Инструкция,NOUN,O
75,Sentence: 2,по,ADP,O
76,Sentence: 2,обеспечению,NOUN,O
77,Sentence: 2,безопасности,NOUN,O
78,Sentence: 2,персональных,ADJ,O
79,Sentence: 2,данных,NOUN,O
80,Sentence: 2,",",PUNCT,O
81,Sentence: 2,обрабатываемых,VERB,O
82,Sentence: 2,в,ADP,O
83,Sentence: 2,информационной,ADJ,O
84,Sentence: 2,системе,NOUN,O
85,Sentence: 2,персональных,ADJ,O
86,Sentence: 2,данных,NOUN,O
87,Sentence: 2,(,PUNCT,O
88,Sentence: 2,утверждена,VERB,O
89,Sentence: 2,приказом,NOUN,O
90,Sentence: 2,ректора,NOUN,O
91,Sentence: 2,№,SYM,O
92,Sentence: 2,614-О,NUM,O
93,Sentence: 2,",",PUNCT,O
94,Sentence: 2,от,ADP,O
95,Sentence: 2,17.12.2012,ADJ,O
96,Sentence: 2,г,NOUN,O
97,Sentence: 2,.,PUNCT,O
98,Sentence: 2,),PUNCT,O
99,Sentence: 2,".,",PUNCT,O
100,Sentence: 2,Инструкция,NOUN,O
101,Sentence: 2,для,ADP,O
102,Sentence: 2,работников,NOUN,O
103,Sentence: 2,подразделений,NOUN,O
104,Sentence: 2,ФГБОУ,PROPN,O
105,Sentence: 2,ВО,PROPN,O
106,Sentence: 2,Новосибирского,ADJ,O
107,Sentence: 2,ГАУ,PROPN,O
108,Sentence: 2,о,ADP,O
109,Sentence: 2,порядке,NOUN,O
110,Sentence: 2,обеспечения,NOUN,O
111,Sentence: 2,конфиденциальности,NOUN,O
112,Sentence: 2,при,ADP,O
113,Sentence: 2,обращении,NOUN,O
114,Sentence: 2,с,ADP,O
115,Sentence: 2,информацией,NOUN,O
116,Sentence: 2,",",PUNCT,O
117,Sentence: 2,содержащей,VERB,O
118,Sentence: 2,персональные,ADJ,O
119,Sentence: 2,данные,NOUN,O
120,Sentence: 2,(,PUNCT,O
121,Sentence: 2,утверждена,VERB,O
122,Sentence: 2,приказом,NOUN,O
123,Sentence: 2,ректора,NOUN,O
124,Sentence: 2,№,SYM,O
125,Sentence: 2,614-О,NUM,O
126,Sentence: 2,",",PUNCT,O
127,Sentence: 2,от,ADP,O
128,Sentence: 2,17.12.2012,ADJ,B-date
129,Sentence: 2,г,NOUN,O
130,Sentence: 2,),PUNCT,O
131,Sentence: 2,".,",PUNCT,O
132,Sentence: 2,Инструкция,NOUN,O
133,Sentence: 2,пользователя,NOUN,O
134,Sentence: 2,при,ADP,O
135,Sentence: 2,обработке,NOUN,O
136,Sentence: 2,персональных,ADJ,O
137,Sentence: 2,данных,NOUN,O
138,Sentence: 2,на,ADP,O
139,Sentence: 2,объектах,NOUN,O
140,Sentence: 2,вычислительной,ADJ,O
141,Sentence: 2,техники,NOUN,O
142,Sentence: 2,(,PUNCT,O
143,Sentence: 2,утверждена,VERB,O
144,Sentence: 2,приказом,NOUN,O
145,Sentence: 2,ректора,NOUN,O
146,Sentence: 2,№,SYM,O
147,Sentence: 2,614-О,NUM,O
148,Sentence: 2,",",PUNCT,O
149,Sentence: 2,от,ADP,O
150,Sentence: 2,17.12.2012,ADJ,B-date
151,Sentence: 2,г,NOUN,O
152,Sentence: 2,.,PUNCT,O
153,Sentence: 2,),PUNCT,O
154,Sentence: 2,.,PUNCT,O
155,Sentence: 2,Перечень,NOUN,O
156,Sentence: 2,должностных,ADJ,O
157,Sentence: 2,лиц,NOUN,O
158,Sentence: 2,",",PUNCT,O
159,Sentence: 2,имеющих,VERB,O
160,Sentence: 2,право,NOUN,O
161,Sentence: 2,доступа,NOUN,O
